-1.393950,0.038077,-0.004627,0.200797,-1.387113,-0.823213,1.556973,-3.612941,-1.756410,0.002971
-1.393734,0.038076,-0.004611,0.200881,-1.386586,-0.825177,1.556159,-3.610352,-1.756914,0.003282
-1.393518,0.038075,-0.004596,0.200881,-1.386286,-0.826387,1.555621,-3.608482,-1.757323,0.003378
-1.393276,0.038074,-0.004524,0.200881,-1.385783,-0.828280,1.554687,-3.605701,-1.757995,0.003450
-1.393029,0.038073,-0.004484,0.200966,-1.385471,-0.829538,1.554124,-3.603832,-1.758379,0.003510
-1.392767,0.038071,-0.004379,0.200966,-1.384884,-0.831586,1.553190,-3.600919,-1.758992,0.003618
-1.392494,0.038070,-0.004197,0.201057,-1.384477,-0.832879,1.552603,-3.598905,-1.759316,0.003750
-1.392220,0.038069,-0.004020,0.201057,-1.383866,-0.834796,1.551609,-3.595992,-1.759760,0.003833
-1.391937,0.038068,-0.003804,0.201057,-1.383531,-0.836053,1.550986,-3.593955,-1.760156,0.003953
-1.391663,0.038067,-0.003553,0.201151,-1.382943,-0.838150,1.549933,-3.590791,-1.760901,0.004097
-1.391381,0.038066,-0.003270,0.201151,-1.382596,-0.839539,1.549239,-3.588670,-1.761405,0.004288
-1.391078,0.038065,-0.003034,0.201195,-1.382129,-0.841695,1.548137,-3.585481,-1.762078,0.004420
-1.390759,0.038064,-0.002874,0.201242,-1.381853,-0.843169,1.547335,-3.583216,-1.762606,0.004468
-1.390500,0.038063,-0.003000,0.201242,-1.381458,-0.845396,1.546221,-3.579860,-1.763146,0.004684
-1.390258,0.038063,-0.003047,0.201342,-1.381194,-0.846857,1.545478,-3.577571,-1.763531,0.004744
-1.389992,0.038062,-0.002983,0.201342,-1.380667,-0.849062,1.544329,-3.574011,-1.764263,0.004912
-1.389702,0.038061,-0.002817,0.201342,-1.380295,-0.850619,1.543527,-3.571745,-1.764659,0.005067
-1.389410,0.038060,-0.002657,0.201442,-1.379613,-0.852823,1.542306,-3.568161,-1.765427,0.005342
-1.389106,0.038059,-0.002443,0.201442,-1.379253,-0.854392,1.541468,-3.565680,-1.765896,0.005570
-1.388772,0.038058,-0.002371,0.201543,-1.378606,-0.856788,1.540102,-3.562072,-1.766568,0.005810
-1.388434,0.038058,-0.002360,0.201543,-1.378223,-0.858333,1.539145,-3.559543,-1.766964,0.005954
-1.388057,0.038057,-0.002166,0.201543,-1.377648,-0.860668,1.537672,-3.555792,-1.767793,0.006217
-1.387681,0.038056,-0.001957,0.201648,-1.377276,-0.862237,1.536714,-3.553179,-1.768334,0.006373
-1.387322,0.038055,-0.001816,0.201648,-1.376653,-0.864645,1.535133,-3.549259,-1.769006,0.006421
-1.386978,0.038055,-0.001744,0.201754,-1.376222,-0.866262,1.534152,-3.546610,-1.769534,0.006504
-1.386636,0.038054,-0.001663,0.201754,-1.375611,-0.868670,1.532691,-3.542487,-1.770195,0.006744
-1.386326,0.038054,-0.001784,0.201754,-1.375264,-0.870298,1.531649,-3.539707,-1.770723,0.006864
-1.386006,0.038053,-0.001953,0.201864,-1.374641,-0.872790,1.530045,-3.535475,-1.771539,0.007080
-1.385648,0.038052,-0.001947,0.201864,-1.374269,-0.874635,1.528979,-3.532658,-1.771983,0.007235
-1.385242,0.038051,-0.001815,0.201972,-1.373467,-0.877246,1.527207,-3.528511,-1.772908,0.007487
-1.384835,0.038051,-0.001688,0.201972,-1.372999,-0.879007,1.526093,-3.525706,-1.773388,0.007643
-1.384395,0.038050,-0.001396,0.201972,-1.372089,-0.881570,1.524261,-3.521319,-1.774072,0.007738
-1.383956,0.038049,-0.001097,0.202077,-1.371634,-0.883199,1.523004,-3.518371,-1.774589,0.007822
-1.383523,0.038049,-0.000824,0.202077,-1.370807,-0.885786,1.521184,-3.513768,-1.775369,0.008062
-1.383080,0.038049,-0.000650,0.202190,-1.370423,-0.887439,1.519939,-3.510663,-1.775934,0.008265
-1.382631,0.038048,-0.000502,0.202190,-1.369764,-0.890075,1.517963,-3.506000,-1.776750,0.008421
-1.382139,0.038048,-0.000302,0.202190,-1.369405,-0.891836,1.516682,-3.502872,-1.777219,0.008661
-1.381629,0.038048,-0.000190,0.202302,-1.368818,-0.894602,1.514611,-3.498173,-1.778095,0.008877
